Task ID,Area,Checkpoint ID,Completed By,Completed Date,Component,Done,Due Date,Mark Done,Notes,Owner,Phase,Priority,Progress,Section,Source Doc,Start Date,Start Task,Started By,Status,Task
P4-A-001,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,Redis keys (additions for Phase 4): Asset Routing: `route:{symbol}` read-through cache.
P4-A-002,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,"Redis keys (additions for Phase 4): Token Policy: nonce/idempotency for short-lived claims (e.g., `policy:claim:nonce:{address}`) and replay windows."
P4-A-003,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,Redis keys (additions for Phase 4): OnChain Driver: per-wallet nonces `nonce:{chain}:{wallet}` with on-chain reconciliation.
P4-A-004,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,"Redis keys (additions for Phase 4): DePIN: job locks/leases/rate limits (e.g., `lease:{job_id}`)."
P4-A-005,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,"Redis keys (additions for Phase 4): zk-VaR: proving job locks/idempotency (e.g., `zkvar:{job_id}`)."
P4-A-006,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,"On-chain strategy (ReFIN L2): All DePIN contracts (NodeRegistry, Staking, QoSOracle, Rewards, Slashing) and optional registries (PolicyRegistry, AttestationRegistry) deploy to the same L2 as the Phase-3 AuditRegistry."
P4-A-007,Standards,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",0) Conventions,Phase 4 - DEV Checkpoints,,,,Not Started,Proving system: zk-VaR circuits use a PLONK/Halo2-family prover; circuits/keys managed per registry.
P4-A-008,Infra,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",1) Google Cloud Project & Networking,Phase 4 - DEV Checkpoints,,,,Not Started,Egress allow-list (updates): Add RPC endpoints for any new on-chain venues/L2s used by the OnChain Driver.
P4-A-009,Infra,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",1) Google Cloud Project & Networking,Phase 4 - DEV Checkpoints,,,,Not Started,"GPU availability: For offloaded proving/training/inference, either route via DePIN or enable GPU-capable runners for zk-VaR/Trainer/Inference Worker; keep GPU toggles configurable."
P4-A-010,Infra,P4-A,,,,No,,,,,4,,"Overall Progress (https://www.notion.so/Overall-Progress-26b0cff841588019a9fde8263f749b82?pvs=21), Checkpoint A (https://www.notion.so/Checkpoint-A-26b0cff84158808889b1e6ab69986c09?pvs=21)",1) Google Cloud Project & Networking,Phase 4 - DEV Checkpoints,,,,Not Started,GCS buckets (updates): zk-VaR: proofs + PK/VK + circuit metadata.
